date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:03:29	109/109	---M--	200	added ('OK')	text/plain	date:Sat,%2020%20Feb%202021%2016:03:28%20GMT	http://localhost/robots.txt		(from )
17:03:30	19679/19679	---MC-	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202021%2016:03:29%20GMT	http://localhost/	/Users/matteopetrani/websites/matteopertani/localhost/index.html	(from )
17:03:30	51433/51433	---M--	200	added ('OK')	text/css	etag:%22c8e9-5b5662b38fd00%22	http://localhost/wp-includes/css/dist/block-library/style.min.css?ver=5.6.1	/Users/matteopetrani/websites/matteopertani/localhost/wp-includes/css/dist/block-library/style.mind96d.css	(from http://localhost/)
17:03:32	1201/1201	---M--	200	added ('OK')	text/css	etag:%224b1-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/style.css?ver=5.1.4	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/style58e0.css	(from http://localhost/)
17:03:32	218505/218505	---M--	200	added ('OK')	text/css	etag:%2235589-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/css/frontend.min58e0.css	(from http://localhost/)
17:03:34	11256/11256	---M--	200	added ('OK')	text/css	etag:%222bf8-5b075c75d5c80%22	http://localhost/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.16	/Users/matteopetrani/websites/matteopertani/localhost/wp-includes/js/mediaelement/mediaelementplayer-legacy.min08e1.css	(from http://localhost/)
17:03:38	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%222bd8-5b472638cda40%22	http://localhost/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	/Users/matteopetrani/websites/matteopertani/localhost/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://localhost/)
17:03:38	1279/1279	---M--	200	added ('OK')	application/json	date:Sat,%2020%20Feb%202021%2016:03:36%20GMT	http://localhost/wp-json/wp/v2/pages/12	/Users/matteopetrani/websites/matteopertani/localhost/wp-json/wp/v2/pages/12.json	(from http://localhost/)
17:03:40	762/762	---M--	200	added ('OK')	text/xml	date:Sat,%2020%20Feb%202021%2016:03:38%20GMT	http://localhost/xmlrpc.php?rsd	/Users/matteopetrani/websites/matteopertani/localhost/xmlrpc0db0.php	(from http://localhost/)
17:03:42	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/wp-includes/wlwmanifest.xml	/Users/matteopetrani/websites/matteopertani/localhost/wp-includes/wlwmanifest.xml	(from http://localhost/)
17:03:46	2177/2177	---M--	200	added ('OK')	application/json	date:Sat,%2020%20Feb%202021%2016:03:42%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2F	/Users/matteopetrani/websites/matteopertani/localhost/wp-json/oembed/1.0/embed1408.json	(from http://localhost/)
17:03:46	89496/89496	---M--	200	added ('OK')	application/javascript	etag:%2215d98-5b11746475f40%22	http://localhost/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	/Users/matteopetrani/websites/matteopertani/localhost/wp-includes/js/jquery/jquery.min9d52.js	(from http://localhost/)
17:03:48	2273/2273	---M--	200	added ('OK')	text/xml	date:Sat,%2020%20Feb%202021%2016:03:44%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2F&format=xml	/Users/matteopetrani/websites/matteopertani/localhost/wp-json/oembed/1.0/embed7e56	(from http://localhost/)
17:03:53	1193/1193	---M--	200	added ('OK')	application/javascript	etag:%224a9-5b9cf2aeb8440%22	http://localhost/wp-includes/js/mediaelement/mediaelement-migrate.min.js?ver=5.6.1	/Users/matteopetrani/websites/matteopertani/localhost/wp-includes/js/mediaelement/mediaelement-migrate.mind96d.js	(from http://localhost/)
17:03:56	109285/109285	---MC-	200	added ('OK')	application/json	date:Sat,%2020%20Feb%202021%2016:03:36%20GMT	http://localhost/wp-json/	/Users/matteopetrani/websites/matteopertani/localhost/wp-json/index.html	(from http://localhost/)
17:03:58	1426/1426	---M--	200	added ('OK')	application/javascript	etag:%22592-5b9cf2aeb8440%22	http://localhost/wp-includes/js/wp-embed.min.js?ver=5.6.1	/Users/matteopetrani/websites/matteopertani/localhost/wp-includes/js/wp-embed.mind96d.js	(from http://localhost/)
17:04:00	737/737	---M--	200	added ('OK')	image/png	etag:%222e1-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/select_box_arrow.png	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/select_box_arrow.png	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:01	1076/1076	---M--	200	added ('OK')	image/svg+xml	etag:%22434-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/icons/module_socialprofiles.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/icons/module_socialprofiles.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:02	1401/1401	---M--	200	added ('OK')	image/svg+xml	etag:%22579-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_image.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_image.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:03	1948/1948	---M--	200	added ('OK')	image/svg+xml	etag:%2279c-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_gallery.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_gallery.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
17:04:04	54673/54673	---M--	200	added ('OK')	application/javascript	etag:%22d591-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/js/frontend.min.js?ver=5.1.4	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/js/frontend.min58e0.js	(from http://localhost/)
17:04:04	2015/2015	---M--	200	added ('OK')	image/svg+xml	etag:%227df-5b1c92bbe7c00%22	http://localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_gallerygrid.svg	/Users/matteopetrani/websites/matteopertani/localhost/wp-content/themes/semplice5/assets/images/admin/placeholders/mp_bg_gallerygrid.svg	(from http://localhost/wp-content/themes/semplice5/assets/css/frontend.min.css?ver=5.1.4)
